Date,Open*,High,Low,Close**,Volume,Market Cap
"May 01, 2020",$0.1913,$0.2001,$0.1888,$0.192,"$2,090,571","$55,247,571"
"Apr 30, 2020",$0.2042,$0.2104,$0.1889,$0.1913,"$1,995,142","$55,059,214"
"Apr 29, 2020",$0.1985,$0.2049,$0.1975,$0.2044,"$1,912,539","$58,828,955"
"Apr 28, 2020",$0.1983,$0.1986,$0.1929,$0.1986,"$6,881,332","$57,147,029"
"Apr 27, 2020",$0.1956,$0.1993,$0.1916,$0.1983,"$10,223,095","$57,053,369"
"Apr 26, 2020",$0.1965,$0.1982,$0.1912,$0.1955,"$1,663,232","$56,267,839"
"Apr 25, 2020",$0.1952,$0.2007,$0.1946,$0.1964,"$1,407,998","$56,509,962"
"Apr 24, 2020",$0.1969,$0.1988,$0.1921,$0.1953,"$1,795,716","$56,214,915"
"Apr 23, 2020",$0.197,$0.1994,$0.1896,$0.1964,"$2,482,096","$56,505,907"
"Apr 22, 2020",$0.2059,$0.2059,$0.1904,$0.197,"$3,082,747","$56,683,425"
"Apr 21, 2020",$0.208,$0.2172,$0.1951,$0.2053,"$7,839,354","$59,072,336"
"Apr 20, 2020",$0.2306,$0.2321,$0.2059,$0.2076,"$6,396,615","$59,748,277"
"Apr 19, 2020",$0.2195,$0.2358,$0.2191,$0.2307,"$2,757,689","$66,381,466"
"Apr 18, 2020",$0.2163,$0.2194,$0.213,$0.2192,"$1,935,245","$63,076,778"
"Apr 17, 2020",$0.2198,$0.2326,$0.2142,$0.2163,"$2,786,599","$62,248,585"
"Apr 16, 2020",$0.2009,$0.2225,$0.1905,$0.2192,"$2,590,699","$63,071,391"
"Apr 15, 2020",$0.203,$0.2111,$0.1944,$0.201,"$1,434,447","$57,828,423"
"Apr 14, 2020",$0.1831,$0.2076,$0.1829,$0.203,"$3,235,448","$58,427,314"
"Apr 13, 2020",$0.1855,$0.191,$0.1744,$0.1831,"$3,372,774","$52,689,894"
"Apr 12, 2020",$0.1682,$0.1893,$0.1677,$0.1856,"$3,472,994","$53,417,789"
"Apr 11, 2020",$0.1666,$0.1701,$0.1663,$0.1684,"$2,983,709","$48,448,562"
"Apr 10, 2020",$0.1782,$0.1785,$0.1637,$0.1666,"$4,431,599","$47,947,637"
"Apr 09, 2020",$0.1802,$0.1823,$0.1753,$0.1783,"$1,238,779","$51,314,900"
"Apr 08, 2020",$0.1721,$0.1821,$0.1718,$0.1803,"$2,236,824","$51,887,527"
"Apr 07, 2020",$0.1765,$0.1801,$0.1686,$0.1721,"$3,014,110","$49,513,962"
"Apr 06, 2020",$0.1625,$0.1768,$0.1619,$0.1766,"$2,991,148","$50,821,265"
"Apr 05, 2020",$0.1621,$0.1732,$0.1532,$0.1627,"$3,220,140","$46,816,583"
"Apr 04, 2020",$0.1475,$0.1636,$0.1475,$0.1618,"$2,577,011","$46,552,551"
